,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
45,追随 Following,犯罪 / 悬疑 / 惊悚,克里斯托弗·诺兰,杰里米·西奥伯德 / 亚历克斯·霍 / 露西·拉塞尔,151082,8.9,英国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg
46,爱·回家 집으로...,剧情 / 家庭,李廷香,金艺芬 / 俞承豪 / 童孝熙,75331,9.1,韩国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2107418134.jpg
47,我爱你 그대를 사랑합니다,剧情 / 爱情,秋昌旼,宋在浩 / 李顺载 / 尹秀晶,132990,9.1,韩国,21世纪10年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
48,忠犬八公物语 ハチ公物語,剧情,神山征二郎,山本圭 / 井川比佐志 / 片桐入,155588,9.2,日本,20世纪80年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
49,我的父亲，我的儿子 Babam ve Oğlum,剧情 / 家庭,查恩·厄尔马克,切邓·泰肯多尔 / 菲克雷特·库斯坎 / 休姆拉,17254,8.9,土耳其,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1975027048.jpg
50,卡比利亚之夜 Le notti di Cabiria,剧情,费德里科·费里尼,朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐,27875,9.1,意大利/法国,20世纪50年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2204675868.jpg
51,鳄鱼波鞋走天涯 The Cure,剧情 / 儿童,彼得·霍顿,布拉德·兰弗洛 / 约瑟夫·梅泽罗 / 安娜贝拉·莎拉,14900,9.1,美国,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188484411.jpg
52,泰坦尼克号 Titanic,剧情 / 爱情 / 灾难,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩,1726156,9.4,美国/墨西哥/澳大利亚/加拿大,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
53,天使爱美丽 Le fabuleux destin d'Amélie Poulain,剧情 / 喜剧 / 爱情,让-皮埃尔·热内,奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯,843733,8.7,法国/德国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
54,罗马假日 Roman Holiday,喜剧 / 剧情 / 爱情,威廉·惠勒,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特,794131,9.0,美国,20世纪50年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
